path,cwnd,free,timestamp
10.1.1.2:4242,18980,80,1621714787934094078
10.1.1.2:4242,18980,0,1621714787934159479
10.1.1.2:4242,20440,190,1621714787934249231
10.1.1.2:4242,20440,0,1621714787934317753
10.1.1.2:4242,21900,300,1621714787934411694
10.1.1.2:4242,21900,0,1621714787934474937
10.1.1.2:4242,23360,410,1621714787934551872
10.1.1.2:4242,23360,0,1621714787934618016
10.1.1.2:4242,24820,520,1621714787934695542
10.1.1.2:4242,24820,0,1621714787934756953
10.1.1.2:4242,13140,990,1621714787952059315
10.1.1.2:4242,13140,0,1621714787952132232
10.1.1.2:4242,14600,1100,1621714787952220863
10.1.1.2:4242,14600,0,1621714787952296510
10.1.1.2:4242,16060,1210,1621714787952391357
10.1.1.2:4242,16060,0,1621714787952456693
10.1.1.2:4242,17520,1320,1621714787953413532
10.1.1.2:4242,17520,0,1621714787953480434
10.1.1.2:4242,18980,1430,1621714787953993396
10.1.1.2:4242,18980,80,1621714787954062133
10.1.1.2:4242,18980,0,1621714787954129140
10.1.1.2:4242,20440,190,1621714787954805316
10.1.1.2:4242,20440,0,1621714787954878901
10.1.1.2:4242,21900,300,1621714787954954657
10.1.1.2:4242,21900,0,1621714787955027454
10.1.1.2:4242,23360,410,1621714787955119872
10.1.1.2:4242,23360,0,1621714787955197793
10.1.1.2:4242,24820,520,1621714787955278663
10.1.1.2:4242,24820,0,1621714787955341640
10.1.1.2:4242,26280,630,1621714787962875456
10.1.1.2:4242,26280,84,1621714787962927900
10.1.1.2:4242,35040,20994,1621714787965674107
10.1.1.2:4242,35040,26394,1621714787966890151
10.1.1.2:4242,30660,10410,1621714788003297943
10.1.1.2:4242,11680,10330,1621714788604051939
10.1.1.2:4242,11680,8980,1621714788604120527
10.1.1.2:4242,11680,7630,1621714788604179380
10.1.1.2:4242,11680,6280,1621714788604237622
10.1.1.2:4242,11680,4930,1621714788604293602
10.1.1.2:4242,11680,3580,1621714788604358244
10.1.1.2:4242,11680,2230,1621714788604430421
10.1.1.2:4242,11680,880,1621714788604494150
